Epoch: [0][760/789]	Time 0.276 (0.276)	Data 0.000 (0.001)	reconst_logp -405.7166 (-1189.8463)	kl 1482.4530 (10607432272.5883)	Loss 420.5411 (106075502.7078)
Epoch: [0][770/789]	Time 0.277 (0.276)	Data 0.000 (0.001)	reconst_logp -429.1523 (-1179.3764)	kl 1411.6914 (10469852105.5128)	Loss 443.2692 (104699690.6951)
Epoch: [0][780/789]	Time 0.277 (0.276)	Data 0.000 (0.001)	reconst_logp -471.2760 (-1169.6828)	kl 1362.1692 (10335795118.8148)	Loss 484.8977 (103359111.2592)
Test: [0/42]	Time 0.483 (0.483)	reconst_logp -326.9927 (-326.9927)	kl 1317.1727 (1317.1727)	Loss 340.1645 (340.1645)
Test: [10/42]	Time 0.097 (0.135)	reconst_logp -324.6990 (-366.3021)	kl 1301.5470 (1411.7774)	Loss 337.7144 (380.4199)
Test: [20/42]	Time 0.099 (0.119)	reconst_logp -313.1208 (-373.0415)	kl 1416.1587 (1446.9708)	Loss 327.2824 (387.5112)
Test: [30/42]	Time 0.100 (0.113)	reconst_logp -373.3041 (-378.9120)	kl 1337.7180 (1436.0780)	Loss 386.6812 (393.2728)
Test: [40/42]	Time 0.099 (0.110)	reconst_logp -383.9556 (-378.1638)	kl 1360.7019 (1427.6757)	Loss 397.5626 (392.4405)
checkpointed!
curr lowest val loss 391.68282160245894
plotting imgs...
done
Epoch: [1][0/789]	Time 0.618 (0.618)	Data 0.496 (0.496)	reconst_logp -387.7659 (-387.7659)	kl 1379.4144 (1379.4144)	Loss 401.5601 (401.5601)
Epoch: [1][10/789]	Time 0.277 (0.313)	Data 0.000 (0.045)	reconst_logp -414.6977 (-381.9780)	kl 1416.8258 (1407.1269)	Loss 428.8660 (396.0493)
Epoch: [1][20/789]	Time 0.277 (0.296)	Data 0.000 (0.024)	reconst_logp -396.2360 (-390.8016)	kl 1392.1771 (1448.5687)	Loss 410.1578 (405.2873)
Epoch: [1][30/789]	Time 0.277 (0.290)	Data 0.000 (0.016)	reconst_logp -347.3253 (-376.5217)	kl 1463.7477 (1458.0485)	Loss 361.9628 (391.1021)
Epoch: [1][40/789]	Time 0.277 (0.286)	Data 0.000 (0.012)	reconst_logp -297.7038 (-375.4363)	kl 1475.4453 (1442.2117)	Loss 312.4582 (389.8584)
Epoch: [1][50/789]	Time 0.279 (0.285)	Data 0.000 (0.010)	reconst_logp -390.8013 (-374.7619)	kl 1423.1393 (1439.7963)	Loss 405.0327 (389.1599)
Epoch: [1][60/789]	Time 0.276 (0.283)	Data 0.000 (0.008)	reconst_logp -382.5115 (-372.7955)	kl 1460.2368 (1437.8345)	Loss 397.1139 (387.1738)
Epoch: [1][70/789]	Time 0.279 (0.283)	Data 0.000 (0.007)	reconst_logp -376.1572 (-370.5283)	kl 1351.4974 (1435.0609)	Loss 389.6722 (384.8789)
Epoch: [1][80/789]	Time 0.277 (0.282)	Data 0.000 (0.006)	reconst_logp -322.8264 (-373.9973)	kl 1507.8973 (1441.9132)	Loss 337.9053 (388.4165)
Epoch: [1][90/789]	Time 0.279 (0.282)	Data 0.000 (0.006)	reconst_logp -374.1675 (-377.6608)	kl 1592.8831 (1446.7662)	Loss 390.0963 (392.1285)
Epoch: [1][100/789]	Time 0.278 (0.281)	Data 0.000 (0.005)	reconst_logp -361.5038 (-377.6631)	kl 1507.0773 (1450.2678)	Loss 376.5746 (392.1658)
Epoch: [1][110/789]	Time 0.278 (0.281)	Data 0.000 (0.005)	reconst_logp -329.9775 (-376.4404)	kl 1501.4585 (1455.7926)	Loss 344.9921 (390.9983)
Epoch: [1][120/789]	Time 0.279 (0.281)	Data 0.000 (0.004)	reconst_logp -391.6905 (-378.0082)	kl 1447.5312 (1461.2714)	Loss 406.1658 (392.6209)
Epoch: [1][130/789]	Time 0.276 (0.280)	Data 0.000 (0.004)	reconst_logp -449.2789 (-376.7932)	kl 1596.2249 (1465.7407)	Loss 465.2411 (391.4506)
Epoch: [1][140/789]	Time 0.276 (0.280)	Data 0.000 (0.004)	reconst_logp -314.2167 (-374.6325)	kl 1438.4025 (1468.6866)	Loss 328.6007 (389.3193)
Epoch: [1][150/789]	Time 0.276 (0.280)	Data 0.000 (0.003)	reconst_logp -369.8623 (-373.0821)	kl 1403.1113 (1469.6125)	Loss 383.8934 (387.7782)
Epoch: [1][160/789]	Time 0.277 (0.280)	Data 0.000 (0.003)	reconst_logp -292.2434 (-371.9297)	kl 1473.7585 (1470.7240)	Loss 306.9810 (386.6369)
Epoch: [1][170/789]	Time 0.278 (0.280)	Data 0.000 (0.003)	reconst_logp -403.0342 (-372.3345)	kl 1456.2112 (1488.1628)	Loss 417.5963 (387.2161)
Epoch: [1][180/789]	Time 0.279 (0.280)	Data 0.000 (0.003)	reconst_logp -293.0066 (-370.7207)	kl 1462.4347 (1486.4179)	Loss 307.6310 (385.5849)
Epoch: [1][190/789]	Time 0.277 (0.280)	Data 0.000 (0.003)	reconst_logp -326.4502 (-371.0496)	kl 1394.3683 (1485.2180)	Loss 340.3939 (385.9018)
Epoch: [1][200/789]	Time 0.275 (0.279)	Data 0.000 (0.003)	reconst_logp -328.5202 (-373.0961)	kl 1587.7814 (1499.7456)	Loss 344.3980 (388.0935)
Epoch: [1][210/789]	Time 0.279 (0.279)	Data 0.000 (0.002)	reconst_logp -338.3521 (-372.7208)	kl 1661.0200 (1500.6192)	Loss 354.9623 (387.7270)
Epoch: [1][220/789]	Time 0.273 (0.279)	Data 0.000 (0.002)	reconst_logp -324.6841 (-371.6521)	kl 1522.3325 (1501.6329)	Loss 339.9075 (386.6684)
Epoch: [1][230/789]	Time 0.279 (0.279)	Data 0.000 (0.002)	reconst_logp -546.2088 (-372.9646)	kl 1435.1749 (1501.9218)	Loss 560.5605 (387.9838)
Epoch: [1][240/789]	Time 0.273 (0.279)	Data 0.000 (0.002)	reconst_logp -312.2202 (-374.0803)	kl 1547.2350 (1503.5480)	Loss 327.6925 (389.1157)
Epoch: [1][250/789]	Time 0.275 (0.279)	Data 0.000 (0.002)	reconst_logp -423.5466 (-379.2942)	kl 1554.3330 (2150.4465)	Loss 439.0900 (400.7987)
Epoch: [1][260/789]	Time 0.277 (0.279)	Data 0.000 (0.002)	reconst_logp -302.4269 (-378.1704)	kl 1623.6104 (2128.1813)	Loss 318.6631 (399.4522)
Epoch: [1][270/789]	Time 0.277 (0.279)	Data 0.000 (0.002)	reconst_logp -291.4572 (-377.4835)	kl 1551.3306 (2106.9243)	Loss 306.9705 (398.5528)
Epoch: [1][280/789]	Time 0.276 (0.279)	Data 0.000 (0.002)	reconst_logp -396.0957 (-377.5019)	kl 1654.9510 (2088.4539)	Loss 412.6452 (398.3865)
